Date,Stock,Buy,Sell,PnL,Reason
2023-12-04,ACC.NS,1857.2847086588542,2005.65771484375,9792.61840820312,TARGET_HIT
2023-12-04,ADANIGREEN.NS,1052.800048828125,1123.75,5037.446533203125,TARGET_HIT
2023-12-05,ADANIENT.NS,2463.076580436862,2956.727783203125,24188.908935546882,TARGET_HIT
2023-12-05,ADANIPORTS.NS,845.816911969866,1003.8877563476562,23236.41412353516,TARGET_HIT
2023-12-05,ACC.NS,2005.65771484375,2169.82470703125,6074.1787109375,TARGET_HIT
2023-12-05,ADANIGREEN.NS,1123.75,1348.5,14833.5,TARGET_HIT
2023-12-05,ADANIPOWER.NS,92.94000244140624,107.62999725341795,11840.135818481445,TARGET_HIT
2023-12-06,ADANIGREEN.NS,1348.5,1563.449951171875,11822.247314453125,TARGET_HIT
2023-12-06,ADANIPORTS.NS,1003.8877563476562,1008.6936645507812,355.63720703125,RSI_OVERBOUGHT
2023-12-06,ADANIPOWER.NS,107.62999725341795,112.08999633789062,3104.1593627929788,RSI_OVERBOUGHT
2023-12-07,ADANIGREEN.NS,1563.449951171875,1624.1500244140625,2852.9034423828125,RSI_OVERBOUGHT
2023-12-07,ADANIPORTS.NS,1008.6936645507812,1030.1964111328125,1591.2032470703125,RSI_OVERBOUGHT
2023-12-07,ADANIPOWER.NS,112.08999633789062,112.4800033569336,260.9146957397461,RSI_OVERBOUGHT
2023-12-12,ABBOTINDIA.NS,22605.71707589286,22190.9453125,-2903.402343750011,TRAILING_STOP
2023-12-12,ADANIGREEN.NS,1624.1500244140625,1463.9000244140625,-7371.5,TRAILING_STOP
2023-12-12,ADANIPORTS.NS,1030.1964111328125,1032.475341796875,164.0830078125,RSI_OVERBOUGHT
2023-12-13,ADANIPORTS.NS,1032.475341796875,1053.8294677734375,1537.4970703125,RSI_OVERBOUGHT
2023-12-20,ACC.NS,2141.3287963867188,2072.34716796875,-5518.5302734375,TRAILING_STOP
2023-12-20,ABBOTINDIA.NS,22173.77578125,21520.259765625,-3267.5800781249927,BEAR_ZONE
2023-12-26,ADANIGREEN.NS,1459.2000244140625,1600.199951171875,11984.993774414066,TARGET_HIT
2023-12-28,APLAPOLLO.NS,1601.922693323206,1532.593505859375,-7487.552246093745,TRAILING_STOP
2024-01-02,ACC.NS,2103.25410275343,2251.759033203125,12177.404296875004,TARGET_HIT
2024-01-02,ADANIPORTS.NS,1002.9464111328124,1068.5941162109375,4857.930175781258,TARGET_HIT
2024-01-03,ADANIGREEN.NS,1589.6444886933773,1697.25,11729.000732421875,TARGET_HIT
2024-01-04,ADANIPOWER.NS,103.01233874838822,111.70999908447266,14768.627250671378,TARGET_HIT
2024-01-08,ADANIPORTS.NS,1085.7280466180098,1158.221435546875,8264.246337890634,TARGET_HIT
2024-01-08,PAGEIND.NS,37663.78515625,36332.59765625,-1331.1875,BEAR_ZONE
2024-01-10,ABBOTINDIA.NS,22463.695870535714,23925.630859375,10233.544921875004,TARGET_HIT
