Date,Open,High,Low,Close,Volume,DMA_20,DMA_50,DMA_100,DMA_200,RSI_14,MACD,MACD_signal,Volume_Change_Pct,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,52W_High,52W_Low,Distance_to_52W_High,Distance_to_52W_Low
2024-04-22,1461.6317610616636,1471.930535229808,1457.0160218672338,1468.9774169921875,10350362,1458.0880187988282,1455.94787109375,1371.2393408203125,1284.8531005859375,54.910251330071056,3.9878980556977695,4.465663047786206,-34.24909181161111,1486.3642799646857,1458.0880187988282,1429.8117576329707,1496.3250732421875,1068.3619384765625,-0.018276547482255313,0.3749810472346901
2024-04-23,1468.1337674689391,1482.527235777458,1444.8561033979945,1448.603271484375,14605554,1458.8610473632812,1456.5737377929688,1373.8721044921874,1286.3980114746093,48.14019070545276,2.846648520803683,4.141860142389701,41.111528273117415,1485.1421233525089,1458.8610473632812,1432.5799713740535,1496.3250732421875,1068.3619384765625,-0.031892669989423146,0.35591059482147036
2024-04-24,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776,1458.8213439941405,1456.7330590820313,1376.3778088378906,1287.8220727539062,45.44992256814236,1.195515760143735,3.5525912659405083,-28.3644016515909,1485.2165257091638,1458.8213439941405,1432.4261622791173,1496.3250732421875,1068.3619384765625,-0.03796271708967976,0.3474090155862286
2024-04-25,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926,1459.0670227050782,1456.9286108398437,1378.9887341308595,1289.247412109375,48.75316759834602,0.6642843511244791,2.9749298829773028,52.38714849672783,1485.0058087354435,1459.0670227050782,1433.128236674713,1496.3250732421875,1068.3619384765625,-0.03146151929022071,0.35651445534694215
2024-04-26,1453.194198141131,1454.236532179651,1439.3467383348082,1441.8780517578125,9413848,1459.6117431640625,1456.7658178710938,1381.5234741210938,1290.4865112304688,46.457770073571865,-0.3474418371158663,2.310455538958669,-40.956524760589076,1483.5489659726827,1459.6117431640625,1435.6745203554424,1496.3250732421875,1070.9637451171875,-0.03638716109087246,0.34633694028553563
2024-04-29,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974,1458.2307189941407,1457.0174560546875,1384.1507788085937,1291.8490393066406,50.66095176960453,-0.14830369621154205,1.8187036919246267,-23.00731858003231,1479.953878393694,1458.2307189941407,1436.5075595945875,1496.3250732421875,1070.9637451171875,-0.028111351908300733,0.3578997040464088
2024-04-30,1457.214576809603,1472.178772035999,1452.1272302795285,1456.221923828125,11474262,1457.295147705078,1457.0551806640624,1386.913084716797,1293.2310711669923,51.31262364998789,0.16580513463532043,1.4881239804667656,58.3099221934295,1477.6275346151465,1457.295147705078,1436.9627607950097,1496.3250732421875,1072.310546875,-0.026801094315133226,0.3580225691819833
2024-05-02,1461.1850562736174,1466.4708844514234,1453.3679147531318,1455.775146484375,14512646,1456.3905944824219,1456.760859375,1389.5872912597656,1294.4870446777343,51.14683676171393,0.37437192187007895,1.2653735687474283,26.479994966125055,1475.2499461346351,1456.3905944824219,1437.5312428302086,1496.3250732421875,1076.4190673828125,-0.027099677391591297,0.3524241539346963
2024-05-03,1460.1925152681529,1464.1134460205978,1405.745524232649,1423.46435546875,17226958,1453.7625549316406,1456.03423828125,1391.809842529297,1295.5932189941407,40.864094108393545,-2.043986396179889,0.603501575761965,18.703081436700096,1475.3906175788945,1453.7625549316406,1432.1344922843866,1496.3250732421875,1078.290771484375,-0.04869310758494831,0.32011178534822204
2024-05-06,1424.9533097670264,1429.4202480421582,1407.5818831415145,1409.095703125,7394208,1451.1779357910157,1455.2192724609374,1393.8016015625,1296.3959924316407,37.27517998468052,-5.061635562857646,-0.5295258519619572,-57.077691836248746,1479.9912310268194,1451.1779357910157,1422.364640555212,1496.3250732421875,1078.290771484375,-0.058295735116021145,0.30678638859649976
